index,Unnamed: 0,id,carpark_id,max_carpark_full,current_carpark_full_total,calculated
42296,42296,2023-02-07T05:00:00-51,51,87,4,2023-02-07 05:00:00
42305,42305,2023-08-04T06:00:00-61,61,313,36,2023-08-04 06:00:00
42310,42310,2023-08-12T12:00:00-51,51,83,5,2023-08-12 12:00:00
42317,42317,2023-06-17T22:00:00-71,71,469,4,2023-06-17 22:00:00
42322,42322,2023-04-16T15:00:00-71,71,469,1,2023-04-16 15:00:00
42323,42323,2023-07-27T02:00:00-51,51,83,0,2023-07-27 02:00:00
42327,42327,2023-05-25T21:00:00-61,61,313,13,2023-05-25 21:00:00
42331,42331,2023-04-26T12:00:00-61,61,313,93,2023-04-26 12:00:00
42343,42343,2023-09-21T05:00:00-71,71,469,70,2023-09-21 05:00:00
42345,42345,2023-08-12T19:00:00-51,51,83,7,2023-08-12 19:00:00
42347,42347,2023-04-08T14:00:00-71,71,469,10,2023-04-08 14:00:00
42351,42351,2023-09-27T10:00:00-61,61,313,165,2023-09-27 10:00:00
42357,42357,2023-10-03T01:00:00-61,61,313,0,2023-10-03 01:00:00
42359,42359,2023-05-23T01:00:00-71,71,469,10,2023-05-23 01:00:00
42361,42361,2023-06-07T04:00:00-51,51,83,0,2023-06-07 04:00:00
42362,42362,2023-06-10T00:00:00-61,61,313,1,2023-06-10 00:00:00
42367,42367,2023-08-21T16:00:00-71,71,469,12,2023-08-21 16:00:00
42374,42374,2023-03-16T09:00:00-61,61,313,163,2023-03-16 09:00:00
42376,42376,2023-09-28T03:00:00-71,71,469,18,2023-09-28 03:00:00
42377,42377,2023-10-03T19:00:00-71,71,469,14,2023-10-03 19:00:00
42378,42378,2023-05-13T07:00:00-51,51,87,20,2023-05-13 07:00:00
42385,42385,2023-05-13T21:00:00-71,71,469,28,2023-05-13 21:00:00
42389,42389,2023-08-02T21:00:00-61,61,313,18,2023-08-02 21:00:00
42396,42396,2023-05-11T19:00:00-61,61,313,22,2023-05-11 19:00:00
42403,42403,2023-05-05T01:00:00-61,61,313,7,2023-05-05 01:00:00
42406,42406,2023-04-10T00:00:00-51,51,87,1,2023-04-10 00:00:00
42409,42409,2023-06-16T17:00:00-61,61,313,0,2023-06-16 17:00:00
42420,42420,2023-06-15T02:00:00-51,51,83,0,2023-06-15 02:00:00
42430,42430,2023-04-03T23:00:00-51,51,87,0,2023-04-03 23:00:00
42439,42439,2023-05-11T20:00:00-61,61,313,16,2023-05-11 20:00:00
42440,42440,2023-06-20T20:00:00-51,51,83,0,2023-06-20 20:00:00
42442,42442,2023-04-06T19:00:00-51,51,87,1,2023-04-06 19:00:00
42443,42443,2023-05-09T23:00:00-51,51,87,3,2023-05-09 23:00:00
42444,42444,2023-07-14T21:00:00-61,61,313,17,2023-07-14 21:00:00
42445,42445,2023-07-21T14:00:00-51,51,83,24,2023-07-21 14:00:00
42453,42453,2023-06-04T16:00:00-61,61,313,90,2023-06-04 16:00:00
42468,42468,2023-10-07T03:00:00-61,61,313,1,2023-10-07 03:00:00
42469,42469,2023-03-21T07:00:00-51,51,87,56,2023-03-21 07:00:00
42472,42472,2023-08-03T13:00:00-51,51,83,40,2023-08-03 13:00:00
42476,42476,2023-06-21T21:00:00-71,71,469,0,2023-06-21 21:00:00
42481,42481,2023-04-11T20:00:00-61,61,313,5,2023-04-11 20:00:00
42491,42491,2023-03-14T17:00:00-61,61,313,38,2023-03-14 17:00:00
42493,42493,2023-08-13T10:00:00-61,61,313,1,2023-08-13 10:00:00
42495,42495,2023-06-15T01:00:00-61,61,313,25,2023-06-15 01:00:00
42496,42496,2023-08-22T19:00:00-61,61,313,17,2023-08-22 19:00:00
42502,42502,2023-04-19T17:00:00-61,61,313,2,2023-04-19 17:00:00
42509,42509,2023-04-22T03:00:00-51,51,87,0,2023-04-22 03:00:00
42510,42510,2023-04-12T18:00:00-71,71,469,0,2023-04-12 18:00:00
42511,42511,2023-08-19T07:00:00-71,71,469,6,2023-08-19 07:00:00
42512,42512,2023-08-24T06:00:00-71,71,469,106,2023-08-24 06:00:00
42517,42517,2023-03-31T23:00:00-71,71,469,14,2023-03-31 23:00:00
42520,42520,2023-02-15T14:00:00-61,61,313,117,2023-02-15 14:00:00
42524,42524,2023-04-28T11:00:00-61,61,313,138,2023-04-28 11:00:00
42532,42532,2023-09-13T01:00:00-51,51,83,6,2023-09-13 01:00:00
42534,42534,2023-06-14T22:00:00-71,71,469,8,2023-06-14 22:00:00
42536,42536,2023-04-12T09:00:00-61,61,313,219,2023-04-12 09:00:00
42538,42538,2023-03-31T21:00:00-61,61,313,6,2023-03-31 21:00:00
42543,42543,2023-04-08T15:00:00-51,51,87,6,2023-04-08 15:00:00
42544,42544,2023-10-05T10:00:00-61,61,313,291,2023-10-05 10:00:00
42545,42545,2023-03-03T06:00:00-71,71,469,58,2023-03-03 06:00:00
42547,42547,2023-04-12T18:00:00-61,61,313,10,2023-04-12 18:00:00
42560,42560,2023-09-09T20:00:00-71,71,469,25,2023-09-09 20:00:00
42568,42568,2023-08-24T07:00:00-71,71,469,144,2023-08-24 07:00:00
42569,42569,2023-06-14T06:00:00-71,71,469,332,2023-06-14 06:00:00
42571,42571,2023-07-13T16:00:00-61,61,313,48,2023-07-13 16:00:00
42577,42577,2023-03-16T18:00:00-61,61,313,37,2023-03-16 18:00:00
42593,42593,2023-09-26T16:00:00-61,61,313,23,2023-09-26 16:00:00
42597,42597,2023-04-11T05:00:00-51,51,87,11,2023-04-11 05:00:00
42600,42600,2023-06-23T07:00:00-61,61,313,130,2023-06-23 07:00:00
42602,42602,2023-05-17T13:00:00-71,71,469,212,2023-05-17 13:00:00
42603,42603,2023-03-09T14:00:00-51,51,87,46,2023-03-09 14:00:00
42604,42604,2023-06-13T07:00:00-61,61,313,88,2023-06-13 07:00:00
42608,42608,2023-05-16T15:00:00-51,51,87,16,2023-05-16 15:00:00
42612,42612,2023-06-28T06:00:00-51,51,83,48,2023-06-28 06:00:00
42617,42617,2023-10-01T03:00:00-61,61,313,0,2023-10-01 03:00:00
42622,42622,2023-04-29T07:00:00-71,71,469,136,2023-04-29 07:00:00
42630,42630,2023-02-17T07:00:00-71,71,408,138,2023-02-17 07:00:00
42632,42632,2023-02-25T11:00:00-61,61,313,68,2023-02-25 11:00:00
42647,42647,2023-08-27T02:00:00-71,71,469,11,2023-08-27 02:00:00
42651,42651,2023-07-30T22:00:00-71,71,469,5,2023-07-30 22:00:00
42655,42655,2023-05-02T04:00:00-71,71,469,24,2023-05-02 04:00:00
42656,42656,2023-05-03T07:00:00-71,71,469,304,2023-05-03 07:00:00
42657,42657,2023-07-02T15:00:00-71,71,469,9,2023-07-02 15:00:00
42660,42660,2023-02-06T15:00:00-61,61,313,138,2023-02-06 15:00:00
42661,42661,2023-06-18T12:00:00-51,51,83,0,2023-06-18 12:00:00
42672,42672,2023-10-01T06:00:00-61,61,313,0,2023-10-01 06:00:00
